Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Agricultural land (% of land area),AG.LND.AGRI.ZS,Afghanistan,AFG,58.2667034279937,57.8270992249487,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Albania,ALB,40.9124087591241,41.7518248175182,43.8321167883212,43.8430674754792,43.3321185703697,42.8573006957117,42.8576660156252,43.1277354442292,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Algeria,DZA,16.2385482882263,16.8032614811021,17.3772116183966,17.3814905935367,17.3955346196478,17.3952656461243,17.4059294622839,17.3655391515237,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,American Samoa,ASM,15,24.0000009536743,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Andorra,AND,48.936170212766,48.936170212766,42.0638307611994,39.9148941040038,40.0212754594519,40.0212754594519,40.0212754594519,39.9574482694585,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Angola,AGO,46.0447581615465,45.9613379321409,47.3169166599824,47.3169166599824,47.4773401780701,47.4773401780701,47.4773401780701,47.4773401780701,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Antigua and Barbuda,ATG,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Argentina,ARG,46.6128790619325,46.9581867146078,54.1826074564529,54.5381464469852,54.5180491761946,54.3357121193851,54.3357121193851,54.3357121193851,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Armenia,ARM,..,46.4699683877766,59.6452397466084,59.1148577449947,59.1148577449947,59.0340692368065,58.8935704661707,58.8970863655824,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Aruba,ABW,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Australia,AUS,60.4611900082007,59.2921390729339,53.326815374302,52.7802871535868,51.6271575569816,52.883771787095,47.6306574853885,48.2419442487149,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Austria,AUT,36.6178239566935,35.6042619420184,33.3971267218863,33.1322506692471,32.9136934111166,32.8902247302037,32.9417255251407,32.3566761396415,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Azerbaijan,AZE,..,57.386355575858,57.6919391709462,57.6870952280192,57.704540089756,57.7005468953326,57.7017519009259,57.7355751784202,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Bahamas, The",BHS,1.1988011988012,1.2987012987013,1.3986013986014,1.3986013986014,1.3986013986014,1.3986013986014,1.3986013986014,1.3986013986014,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bahrain,BHR,11.5942028985507,12.9577462102326,11.2125172407413,11.1688316642464,11.1688316642464,11.1543457220124,11.0539846325564,11.0539846325564,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bangladesh,BGD,79.7879695782438,72.2132595836214,70.1236844126911,70.0622263194284,69.9700391795345,69.900898824614,70.3867268523853,70.6323266569678,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Barbados,BRB,44.1860465116279,41.8604651162791,32.5581395348837,30.2325581395349,29.0697674418605,27.906976744186,25.5813953488372,23.2558139534884,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Belarus,BLR,..,45.6123052652337,43.7386033216697,43.3492681484402,42.9317713441956,42.4879174012708,42.2420157125243,42.0354891269939,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Belgium,BEL,..,45.8916768687563,44.111623222321,43.9894319682959,44.1380449141347,43.966316011497,43.8573315719947,44.6103054434653,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Belize,BLZ,5.52389302937308,6.53222270933801,6.88294607628233,7.01446733888645,7.01446733888645,7.01446733888645,7.01446733888645,7.01446733888645,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Benin,BEN,20.1312522170983,28.3345157857396,31.3054274565449,32.8130542745655,33.2564739269244,33.2564739269244,33.2564739269244,33.2564739269244,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bermuda,BMU,5.55555567819886,7.40740738696685,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bhutan,BTN,9.71684221856917,13.3165829145729,13.6317124181349,13.6317124181349,13.6317124181349,13.7891224996434,13.7891224996434,13.6063342409668,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bolivia,BOL,32.7286993445952,34.2869011354195,34.6690667405151,34.755838641189,34.8361488045786,34.8029170128312,34.7650696944521,34.7872242222838,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Bosnia and Herzegovina,BIH,..,41.6015625,42.01171875,42.109375,42.20703125,42.12890625,42.5,43.14453125,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Botswana,BWA,45.914280168687,45.7907645616078,45.7466518447938,45.677836006564,45.6637199371835,45.8789899952358,45.6330167970197,45.6330167970197,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Brazil,BRA,28.9069099105782,31.2756187381403,32.9466843101456,32.9746809696894,33.4478723735185,33.9284816956883,33.9887821931674,33.9245334488295,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,British Virgin Islands,VGB,53.3333333333333,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667,..,..,..,..
