Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Albania,ALB,15.4050638293415,20.1153637600108,29.2415007417055,28.9374866944749,28.9163537436855,28.2129788388934,27.267393304466,28.9778642158267,31.5698206428859,31.5915741366206,31.5555522506359,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Algeria,DZA,23.4436850828471,42.0697279237388,38.7881212988477,36.8905478100074,33.2098978857357,30.4876573850505,23.1717927101007,20.8724853293973,22.6322035155381,25.7868308209835,22.794358806166,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,American Samoa,ASM,..,..,58.3623693379791,74.8447204968944,71.2948517940718,66.3551401869159,64.5990922844176,65.4907975460123,60.1328903654485,68.8679245283019,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Angola,AGO,..,89.6858311851382,60.6699484390186,55.9401314050624,50.7470843910637,44.6950312503076,29.7545994933756,28.124484560559,29.0041000519815,40.8362898865574,40.5568710674423,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Antigua and Barbuda,ATG,..,98.6016493366798,82.4971838964455,79.0157599402443,80.5916154374261,82.2012399682303,76.0362087740055,72.6104599899969,67.4598969607977,71.7415127640185,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Argentina,ARG,10.3595365925264,10.9863752325576,18.4492091453155,16.2378594620246,14.6171733884386,14.4054785893756,10.7056520504538,12.5270951690009,11.320283359718,14.6198312494407,17.4397039105857,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Armenia,ARM,35.0029815146094,22.1614188089398,22.5231882640131,27.5618114828439,28.3534851384818,28.5603816555446,29.7253912120334,33.7442798606396,38.2160456550464,39.3928940286073,41.1889680894783,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Aruba,ABW,..,74.4003244390901,67.8133216476775,65.2413489089707,76.509511993383,77.5555555555556,73.5170302334481,71.294029007346,73.332114787059,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Australia,AUS,15.1463378398455,19.4346594389549,21.4364170540906,21.4808284059974,19.9561676149363,21.0394549992806,19.984845509759,19.2510570754507,21.2057506620343,21.8219046176483,24.1109654423664,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Austria,AUT,35.6974143906097,43.3462739519887,53.9486708516394,53.9736761965302,53.4412932967224,53.3865790462424,53.0890605587958,52.4063936498056,54.0537009052279,55.690950654202,55.5756031914258,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Azerbaijan,AZE,43.8608458390177,40.1708314787732,56.4269805307016,52.9746801915106,48.4158330755216,43.2735566584935,37.7947774917249,46.4276493913136,48.547864732761,54.0922938620586,49.1796133739793,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Bahamas, The",BHS,54.160770688566,38.0475628585261,37.4352685331837,38.1272328716011,39.6379773664888,38.8044926023255,37.9179902312395,36.5871651926059,36.3374350516784,39.409926202379,39.2435266739329,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bahrain,BHR,115.555828722334,79.1806670285974,99.4186691312384,102.14552480855,104.804803332124,96.0507512478313,83.1072099110581,74.2008275338583,75.7796814248463,79.5672068340522,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bangladesh,BGD,5.90831648660892,12.3442012279919,19.9220749554939,20.1615888634893,19.5378741103687,18.9896599950107,17.3366737865485,16.6497149603036,15.0361076278794,14.800958178109,15.3232474432667,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Barbados,BRB,43.1307141092167,43.2358228468704,44.4696747181965,42.6068503253796,41.9805933290571,40.3215990631321,41.443178154825,43.1323447204969,42.1915940136601,41.2875985451686,42.0081205605682,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belarus,BLR,45.9584295612009,69.2108213448948,78.4653615193087,78.7769072783938,58.3335781066769,54.941004057247,58.0107665670743,62.5093471231924,66.7896002012327,70.4550452625374,66.4313532906359,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belgium,BEL,61.6136909555393,72.5473951580567,80.6973629124622,80.4044905064987,79.3243484015476,79.801009073623,77.8052821516798,79.4296154739536,83.1934391496819,82.9866856175044,81.8366861380423,..
