Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Afghanistan,AFG,68.12,86.04,110.74,122.13,119.31,123.66,119,125.41,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Albania,ALB,68.73,86.31,124.65,133.04,134.39,141.72,145.71,150.93,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Algeria,DZA,44.43,66.13,144.1,149.67,164.91,142.51,151,151.62,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,American Samoa,ASM,56.5,80.92,114.3,110.24,117.57,116.62,120.15,120.97,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Angola,AGO,37.91,62.63,184.53,152.82,206.96,176.78,181.06,192.85,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Antigua and Barbuda,ATG,86.85,98.5,83.5,78.88,78.19,79.08,70.54,69.89,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Argentina,ARG,63.01,85.91,117.48,108.03,118.14,121.22,129.02,129.11,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Armenia,ARM,..,64.67,119.34,135.35,141.2,141.72,150.35,135.37,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Australia,AUS,69.98,99.32,102.35,108.39,108.59,109.14,109.72,105.58,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Austria,AUT,92.02,100.19,104.19,99.33,98.47,104.11,98.35,101.29,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Azerbaijan,AZE,..,75.87,131.88,138.14,141.25,136.46,145.33,148.08,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,"Bahamas, The",BHS,72.91,84.86,127.36,127.24,128.71,129.26,129.89,130.89,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Bahrain,BHR,91.98,121.56,164.38,165.67,203.34,203.16,201.56,200.76,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Bangladesh,BGD,65.58,89.9,131.7,132.49,135.01,140.96,141.72,145.31,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Barbados,BRB,110.63,102.58,93.83,94.9,89.32,87.32,84.84,85.02,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Belarus,BLR,..,79.57,126.51,138.95,135.89,136.66,133.03,133.94,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Belgium,BEL,..,106.18,104.58,100.5,104.16,89.18,88.31,84.89,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Belize,BLZ,53.14,90.74,86.88,104.65,98.26,101.37,99.55,94.19,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Benin,BEN,48.98,86.71,135.81,145.65,157.49,165.45,154.51,161.65,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Bermuda,BMU,113.15,103.86,110.15,114.05,112.5,112.44,113.1,112.44,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Bhutan,BTN,49.93,78.53,106.45,100.78,96.57,98.65,98.77,102.11,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Bolivia,BOL,58.54,83.05,123.07,135.44,138.27,142.03,147.55,146.43,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Bosnia and Herzegovina,BIH,..,68.23,111.79,100.97,116.7,96.95,110.54,125.39,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Botswana,BWA,69.48,96.58,138.14,127.23,126.9,128.3,115.96,119.84,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Brazil,BRA,51.4,76.96,129.15,127.29,136.83,137.01,140.58,136.5,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,British Virgin Islands,VGB,82.38,99.27,102.67,103.93,103.94,103.16,102.96,103.25,..,..,..,..
