Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Afghanistan,AFG,70.69,104.47,107.94,109.26,103.97,101.71,98.9,98.7,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Albania,ALB,57.97,89.31,104.66,108.27,110.78,111.07,111.72,113.07,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Algeria,DZA,62.93,87.1,127.34,135.31,141.95,144.88,149.14,147.06,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,American Samoa,ASM,97.93,100.35,100.41,100.42,100.43,100.44,100.45,100.46,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Angola,AGO,70.11,99.28,126.28,130.47,137.03,137.33,139.12,139.14,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Antigua and Barbuda,ATG,77.26,89.76,59.36,53.86,50.86,50.87,34.33,32.64,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Argentina,ARG,84.39,93.98,102.26,101.63,108.83,108.13,110.15,107,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Armenia,ARM,..,73.86,125.69,130.97,139.55,141.15,144.37,143.85,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Australia,AUS,86.42,104.21,98.16,99.98,106.09,106.12,105.98,102.02,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Austria,AUT,94.01,101.25,105.51,105.55,106.51,106.48,107.18,108.27,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Azerbaijan,AZE,..,80.62,160.31,169.34,174.84,175.45,178.35,182.41,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,"Bahamas, The",BHS,64.67,81.05,112.82,111.85,114.14,111.01,110.89,110.85,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Bahrain,BHR,141.69,142.7,260.87,264.22,364.65,364.86,361.31,359.72,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Bangladesh,BGD,65.81,84.31,117.92,122.66,124.46,130.29,135.27,135.88,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Barbados,BRB,97.96,85.42,103.03,107.71,107.7,105.86,106.22,110.82,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Belarus,BLR,..,82.26,134.53,143.1,143.23,143.27,147.04,147.85,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Belgium,BEL,..,108.12,104.23,102.91,105.36,79.32,82.02,81.32,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Belize,BLZ,52.14,64.46,97.55,102.97,113.89,114.29,115.82,118.05,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Benin,BEN,62.76,81.45,127.27,129.95,132.87,133.91,135.42,136.32,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Bermuda,BMU,131.95,102.72,106.17,108.31,108.98,109.06,111.63,111.07,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Bhutan,BTN,34.05,99.57,96.36,96.27,97.16,98.18,91.07,92.82,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Bolivia,BOL,64.91,80.12,127.94,132.06,134.14,134.72,136.05,135.44,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Bosnia and Herzegovina,BIH,..,76.65,129.81,132.58,119.2,118.19,121.42,119.68,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Botswana,BWA,64.19,97.33,137.64,128.77,129.34,128.96,114.7,119.04,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Brazil,BRA,44.88,77.62,118.8,121.38,127.45,128.25,127.94,127,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,British Virgin Islands,VGB,90.77,99.58,99.72,99.72,99.72,99.72,99.72,99.72,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Brunei Darussalam,BRN,20.03,82.14,161.37,166.49,182.62,183.14,187.53,187.03,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Bulgaria,BGR,250.19,153.75,88.77,90.27,89.02,86.18,84.39,84.39,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Burkina Faso,BFA,55.23,75.63,109.95,110.32,85.14,83.24,84.66,84.19,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Burundi,BDI,101.8,89.41,129.48,140.48,126.65,136.78,136.6,140.58,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Cabo Verde,CPV,51.31,84.65,74.01,75.51,77.63,76.86,78.9,81.59,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Cambodia,KHM,48.39,91.38,96.97,91.71,91.36,91.84,89.17,89.23,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Cameroon,CMR,73.68,87,119.77,120.74,124.01,125.23,125.23,125.4,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Canada,CAN,68.1,89.04,95.5,88.62,85.58,85.7,83.07,83.25,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Cayman Islands,CYM,192.36,99.28,102.39,101.71,101.02,100.34,99.5,98.67,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Central African Republic,CAF,56.3,91.39,125.66,127.55,128.72,127.32,127.85,128.28,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Chad,TCD,48.33,89.72,113.17,114.04,114.51,116.08,115.82,117.13,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Chile,CHL,55.08,82.82,112.25,117.43,111.73,111.84,111,110.55,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,China,CHN,40.11,84.04,119.84,124.7,126.48,127.06,128.01,130.43,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Colombia,COL,69.1,86.1,110.27,117.18,121.46,122.31,122.32,115.61,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Comoros,COM,63.61,99.37,113.26,112.83,112.92,108.42,108.87,109.39,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,"Congo, Dem. Rep.",COD,99.25,101.81,105.65,106.62,106.69,106.78,106.4,106.41,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,"Congo, Rep.",COG,51.01,69.48,162.37,170.7,161.72,166.38,171.67,177.07,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Costa Rica,CRI,71.08,91.35,121.53,122.34,123.21,123.55,124.8,127.21,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Cote d'Ivoire,CIV,80.85,87.75,116.13,125.78,130.12,131.82,131.92,133.23,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Croatia,HRV,..,77.24,106.62,100.63,96.38,93.83,94.99,94.02,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Cuba,CUB,185.49,124.67,140.01,137.93,144.08,143.94,137.23,144.9,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Cyprus,CYP,69.82,103.95,97.71,94.75,88.77,89.21,89.8,88.86,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Czech Republic,CZE,..,104,91.53,88.67,85.5,85.47,86.85,87.62,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Denmark,DNK,81.86,95.25,103.16,102.55,98.69,99.23,100.3,100.31,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Djibouti,DJI,96.02,82.35,133.21,134.36,134.37,134.13,133.75,133.75,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Dominica,DMA,90.59,101.94,105.8,107.93,103.92,103.95,103.98,103.97,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Dominican Republic,DOM,59.39,80.61,114.54,107,112.35,113.06,114.29,110.31,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Ecuador,ECU,47.96,85.78,130.16,127.3,132.86,128.63,121.82,124.15,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,"Egypt, Arab Rep.",EGY,50.01,80.7,125.19,129.56,128.63,129.76,122.94,123.35,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,El Salvador,SLV,62.46,90.42,105.09,107.14,105.85,111.04,110.29,111.57,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Equatorial Guinea,GNQ,73.58,93.07,109.53,110.35,104.73,104.76,104.81,105.01,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Eritrea,ERI,..,87.56,121.58,122.65,123.01,124.32,122.7,122.96,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Estonia,EST,..,83.38,119.43,119.33,127.57,127.87,125.75,125.65,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Eswatini,SWZ,87.32,88.4,112.03,114.91,115.39,115.42,114.76,114.73,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Ethiopia,ETH,..,65.43,127.64,126.17,118.73,117.24,122.95,120.12,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Faroe Islands,FRO,97.28,100.01,100.17,100.17,100.17,100.17,100.17,100.17,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Fiji,FJI,92,92.6,115.95,104.31,110.02,109.63,109.24,109.67,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Finland,FIN,107.43,95.3,97.42,96.39,98.06,99.77,100.59,99.85,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,France,FRA,101.71,102.83,102.35,102.2,102.48,103.27,104.09,103.08,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,French Polynesia,PYF,91.72,97.16,125.05,127.38,112.63,128,116.86,120.18,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Gabon,GAB,76.96,95.52,107.5,110.26,111.71,111.25,113.15,114.25,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,"Gambia, The",GMB,42.44,84.63,105.67,107.16,106.2,108.69,110.77,106.73,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Georgia,GEO,..,96.99,74.43,70.3,74.6,71.93,71.09,69.22,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Germany,DEU,114.6,98.27,110.54,109.64,110.4,112.02,112.54,112.54,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Ghana,GHA,78.44,89.85,126.71,130.64,132.73,132.51,134.18,134.68,..,..,..,..
